"POL","POLABBREV","POLN","InhalationCancerURF","InhalationCancerSlopeFactor","OralCancerSlopeFactor","AcuteREL","InhalationChronicREL","OralChronicREL","InhalationChronicREL_8HR","IsMultipathway","MolWtCorrection","POLALTN1","OEHHA_PHGV_INFO","POL_TYPE","TOXAPPEN","REG_SUBST","AB2588_CHEM","CTR_CHEM","CARCINOGEN","DEG_ACC","HEADER_OR_DUPLICATE_FLAG","HEADER_OR_DUPLICATE_INFO","HAPS","TAC_ID","EPA_EXEMPT_VOC","EPA_POL","ALPHA_POL_SORT","RPT_GROUP","RPT_GROUP_B","RPT_GROUP_C","RPT_GROUP_D","DELETED_CHEM","CONVERTED_FROM_DEL_CHEM","METAL_MWAF_FLAG","PARENT_POL","PARENT_METAL_GRP","Prop65_Cancer","Prop65_DART","IARC_GROUP","Functional_Grp_Assoc","LAST_UPDT_HEALTH","DISPLAYORDER","DermalAbsorptionFactor","HalfLifeInSoil","RChem_Group_HV","PathwaySoilIngestion","PathwayDermal","PathwayMothersMilk"
107211,Ethylene Glycol,Ethylene glycol,,,,,400,,,False,1,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,N,200,,PLACEHOLDER,Y,TAC,,PLACEHOLDER,Ethylene glycol,Ethylene glycol,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,P65_DART,,PLACEHOLDER,"2013-06-24",174,,,,False,False,False
52686,Trichlorfon,Trichlorfon,,,,,,,,False,1,,PLACEHOLDER,T,A-II,Y,AB2588_CHEM_2022,,N,,,PLACEHOLDER,,,,PLACEHOLDER,,,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,"3",PLACEHOLDER,"2000-10-16",765,,,,False,False,False
106887,"1,2-EpoxyButane","1,2-Epoxybutane",,,,,20,,,False,1,"1,2-Butylene oxide",PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,N,100,,PLACEHOLDER,Y,TAC,,PLACEHOLDER,Epoxy butane,"1,2-Epoxybutane",,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,"2B",PLACEHOLDER,"2001-03-14",165,,,,False,False,False
51207319,"2,3,7,8-TCDF","2,3,7,8-Tetrachlorodibenzofuran",3.8,13000,13000,,0.0004,0.0000001,,False,1,"Polychlorinated dibenzofurans: 2,3,7,8-Tetrachlorodibenzofuran",PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,Y,0.000001,,PLACEHOLDER,Y,TAC,,PLACEHOLDER,"Polychlorinated dibenzofurans zz 4Tetra 2,3,7,8",Polychlorinated dibenzofurans,,Dioxins/Furans,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,P65_CANC,,,PLACEHOLDER,"2012-02-23",393,0.03,7000,PCDFs,False,False,False
67562394,"1-4,6-8HpCDF","1,2,3,4,6,7,8-Heptachlorodibenzofuran",0.38,1300,1300,,0.004,0.000001,,False,1,"Polychlorinated dibenzofurnas: 1,2,3,4,6,7,8-Heptachlorodibenzofuran",PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,Y,0.000001,,PLACEHOLDER,Y,TAC,,PLACEHOLDER,"Polychlorinated dibenzofurans zz 7Hepta 1,2,3,4,6,7,8",Polychlorinated dibenzofurans,,Dioxins/Furans,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,P65_CANC,,,PLACEHOLDER,"2012-02-23",400,0.03,7000,PCDFs,False,False,False
9901,DieselExhPM,"Diesel engine exhaust, particulate matter (Diesel PM)",0.0003,1.1,,,5,,,False,1,,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,Y,0.1,,PLACEHOLDER,,TAC,,PLACEHOLDER,"Diesel engine exhaust, particulate matter",Diesel engine exhaust,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,P65_CANC,,"1",PLACEHOLDER,"2000-10-16",142,,,,False,False,False
2807309,EGPE,Ethylene glycol monopropyl ether,,,,,,,,False,1,Glycol ethers & acet: Ethylene glycol monopropyl ether,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,N,100,,PLACEHOLDER,Y,TAC,,PLACEHOLDER,Glycol ethers zz Ethylene glycol monopropyl ether,Glycol ethers (and their acetates),,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,"2000-10-16",207,,,,False,False,False
112492,TEGDME,Triethylene glycol dimethyl ether,,,,,,,,False,1,Glycol ethers & acet: Triethylene glycol dimethyl ether,PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,N,100,,PLACEHOLDER,Y,TAC,,PLACEHOLDER,Glycol ethers zz Triethylene glycol dimethyl ether,Glycol ethers (and their acetates),,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,"2000-10-16",210,,,,False,False,False
39227286,"1-4,7,8HxCDD","1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",3.8,13000,13000,,0.0004,0.0000001,,False,1,"Polychlorinated dibenzo-p-dioxins: 1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",PLACEHOLDER,T,A-I,Y,AB2588_CHEM_2022,CTR_CHEM,Y,0.000001,,PLACEHOLDER,Y,TAC,,PLACEHOLDER,"Polychlorinated dibenzodioxins zz 6Hexa 1,2,3,4,7,8",Polychlorinated dioxins - indiv. isomers,,Dioxins/Furans,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,P65_CANC,,,PLACEHOLDER,"2012-02-23",383,0.03,7000,PCDDs,False,False,False
13647353,Trilostane,Trilostane,,,,,,,,False,1,"4,5-Epoxy-17-hydroxy-3-oxoandrostane-2-carbonitrile",PLACEHOLDER,T,A-III,Y,AB2588_CHEM_2022,,N,,,PLACEHOLDER,,,,PLACEHOLDER,,,,,PLACEHOLDER,,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,PLACEHOLDER,,,,PLACEHOLDER,"2000-10-16",766,,,,False,False,False
